,0
1280,492
1281,494
1282,495
1283,496
1284,497
1285,498
1286,499
1287,500
1288,501
1289,502
1290,503
1291,504
1292,505
1293,506
1294,507
1295,508
1296,509
1297,510
1298,511
1299,512
1300,515
1301,517
1302,519
1303,521
1304,523
1305,525
1306,527
1307,529
1308,531
1309,533
1310,535
1311,537
1312,539
1313,541
1314,543
1315,545
1316,547
1317,549
1318,551
1319,553
1320,555
1321,557
1322,559
1323,561
1324,112б
1325,218А
1326,227А
1327,252а
1328,252Б
1329,254А
1330,257Б
1331,257В
1332,259А
1333,259Б
1334,263А
1335,267А
1336,270А
1337,283А
1338,283Б
1339,299А
1340,305А
1341,305Б
1342,313А
1343,316А
1344,318А
1345,318Б
1346,319А
1347,320А
1348,320Б
1349,320В
1350,323А
1351,356А
1352,4-к.1
1353,4-к.2
1354,4-к.3
1355,4-к.4
1356,4-к.5
1357,555/1
1358,9в
1359,9г
1360,9д
1361,9е
1362,9Ж
1363,67 А
1364,69 б
1365,74 А
1366,4В
1367,4Г
1368,41
1369,44
1370,44/2
1371,47
1372,50
1373,52
1374,54
1375,54/1
1376,54/2
1377,35/1
1378,45/2
1379,73/1
1380,87/1
1381,93/1
1382,130а
1383,130б
1384,130в
1385,130г
1386,130д
1387,155а
1388,164а
1389,170а
1390,175А
1391,175б
1392,60а
1393,74а
1394,90б
1395,13В
1396,13Г
1397,15г
1398,23Б
1399,5Б
1400,14-Б
1401,103A
1402,113/1
1403,113/2
1404,113/3
1405,113/4
1406,113/5
1407,113/6
1408,117/1
1409,117/2
1410,43/1
1411,43/2
1412,45A
1413,51A
1414,71A
1415,72/1
1416,72/2
1417,73A
1418,87A
1419,88/1
1420,88/2
1421,97A
1422,99А
1423,99Б
1424,100 а
1425,58 а
1426,60 а
1427,62 а
1428,64А
1429,73 А
1430,73 в
1431,75 а
1432,75 б
1433,75 в
1434,77 в
1435,78 а
1436,79 а
1437,80 а
1438,81 а
1439,81 б
1440,83 а
1441,83 б
1442,84 а
1443,84 б
1444,84 в
1445,85 а
1446,86 б
1447,86 г
1448,87 б
1449,88 а
1450,88 б
1451,94 а
1452,112-А
1453,116-А
1454,118-А
1455,124-А
1456,126-Б
1457,128А
1458,128-Б
1459,137Б
1460,139А
1461,139Б
1462,140
1463,141
1464,141б
1465,141В
1466,142
1467,143
1468,144
1469,145
1470,146
1471,147
1472,148
1473,149
1474,150
1475,151
1476,153б
1477,73а
1478,122б
1479,123А
1480,124б
1481,124в
1482,124д
1483,124е
1484,124ж
1485,66/2
1486,76-2
1487,104
1488,109
1489,111
1490,113
1491,115
1492,115а
1493,120
1494,121
1495,122
1496,123
1497,124
1498,125
1499,126
1500,126а
1501,127
1502,128
1503,129
1504,130
1505,131
1506,132
1507,133
1508,135
1509,137
1510,139
1511,153
1512,155
1513,152а
1514,157А
1515,157б
1516,157в
1517,157г
1518,157д
1519,20В
1520,19к
1521,5в
1522,22/24
1523,21 т
1524,3 а
1525,140/1
1526,140/2
1527,10-А
1528,13-В
1529,13-Г
1530,13-Д
1531,13-Е
1532,13-К
1533,13-М
1534,16-В
1535,18-Б
1536,18-В
1537,39-А
1538,55-А
1539,55-Б
1540,61-А
1541,65-А
1542,67-А
1543,8-Б
1544,121А
1545,89а
1546,89в
1547,92/2
1548,24в
1549,28в
1550,33в
1551,109Б
1552,109в
1553,29б
1554,29в
1555,29г
1556,17г
1557,80/2
1558,49В
1559,36д
1560,19Б
1561,12в
1562,12г
1563,132 а
1564,133 б
1565,140 г
1566,164 д
1567,8в
1568,8е
1569,72
1570,27в
1571,20 б
1572,43 б
1573,44 а
1574,46 а
1575,51 а
1576,6в
1577,30 а
1578,10в
1579,7д
1580,31в
1581,83
1582,10-к.1
1583,10-к.2
1584,93А
1585,411
1586,413
1587,415
1588,417
1589,419
1590,421
1591,423
1592,425
1593,427
1594,429
1595,431
1596,433
1597,435
1598,437
1599,439
1600,443
1601,445
1602,447
1603,449
1604,451
1605,453
1606,459
1607,213а
1608,229/1
1609,231/2
1610,293/2
1611,302/2
1612,339/1
1613,372/1
1614,459/2
1615,31-А
1616,50 а
1617,8/10
1618,137/1
1619,46/1
1620,46/2
1621,91А
1622,16/2
1623,28/2
1624,10 б
1625,20 а
1626,20 д
1627,24 б
1628,24 в
1629,24 г
1630,24 д
1631,24 е
1632,28 а
1633,34 а
1634,38 а
1635,48 д
1636,49 д
1637,50 б
1638,50 в
1639,52 а
1640,7-к.1
1641,7-к.2
1642,15 б
1643,29 а
1644,33 а
1645,33 б
1646,33 в
1647,33 г
1648,35 а
1649,35 л
1650,35 п
1651,35 т
1652,35б-к1
1653,35б-к2
1654,35-к1
1655,35-к2
1656,35-к3
1657,35-к4
1658,35-к5
1659,35-к6
1660,61А
1661,78а
1662,17в
1663,17д
1664,38В
1665,38г
1666,6г
1667,80/1
1668,88б
1669,94в
1670,94д
1671,39б
1672,33/1
1673,33/2
1674,68
1675,70
1676,74
1677,74/1
1678,74/2
1679,76
1680,76/1
1681,76/2
1682,78
1683,80
1684,82
1685,256А
1686,258А
1687,32/2
1688,40/2
1689,114-А
1690,136-А
1691,158-А
1692,168-А
1693,192-А
1694,194-А
1695,196-А
1696,197-А
1697,199-А
1698,200-А
1699,202-А
1700,229-А
1701,238-А
1702,241-А
1703,273а
1704,305-А
1705,305-Б
1706,305-В
1707,332 -А
1708,332-А
1709,333-А
1710,343-А
1711,347-А
1712,7Б
1713,26/1
1714,77 а
1715,100-к.1
1716,100-к.2
1717,100-к.3
1718,8-к.3
1719,81а
1720,2Д
1721,6-А
1722,6-Б
1723,45д
1724,154/1
1725,154/2
1726,262-А
1727,84б
1728,91б
1729,2 е
1730,3 г
1731,39/41
1732,41 а
1733,86/1
1734,86/2
1735,38/1
1736,1-Д
1737,46б
1738,7В
1739,133а
1740,2Ж
1741,38/2
1742,54б
1743,81/1
1744,92б
1745,30/1
1746,35-35а
1747,126б
1748,172а
1749,105/107
1750,133a
1751,104/1
1752,76-А
1753,81-А
1754,15в
1755,15д
1756,100-А
1757,102-к.1
1758,102-к.2
1759,102-к.3
1760,77а К.1
1761,77а К.2
1762,79 а к 1
1763,79 а к2
1764,82б
1765,83k4
1766,83к1
1767,83к2
1768,83к3
1769,83к4
1770,41/1
1771,62в
1772,16/18
1773,20/22
1774,13/2
1775,13/3
1776,52/1
1777,52/2
1778,58
1779,5/7
1780,87в
1781,27/3
1782,27/4
1783,27 А
1784,42/1
1785,42/2
1786,54.1
1787,54.2
1788,72/3
1789,76А 
1790,78/1
1791,78/2
1792,78/3
1793,78/4
1794,78/5
1795,85/2
1796,89/1
1797,89/2
1798,91/1
1799,91/2
1800,156А
1801,53б
1802,115-А
1803,117-А
1804,121-А
1805,125-Е
1806,127-А
1807,131-А
1808,133-Б
1809,135-А
1810,144А
1811,182А
1812,182Б
1813,190А
1814,196/2
1815,196А
1816,196Б
1817,196В
1818,196Г
1819,198 В
1820,198А
1821,210А
1822,212А
1823,242А
1824,244А
1825,244Б
1826,246А
1827,250А
1828,262А
1829,276А
1830,280А
1831,282А
1832,286А
1833,294А
1834,298Б
1835,298В
1836,300А
1837,302А
1838,304А
1839,306А
1840,61 А
1841,61 Б
1842,13 б
1843,13 в
1844,13 г
1845,13 д
1846,26  б
1847,21/1
1848,34/1
1849,61/1
1850,65/1
1851,71/2
1852,46/3
1853,35/2
1854,2Е
1855,147а
1856,151а
1857,151Б
1858,151г
1859,161А
1860,161Б
1861,161В
1862,169а
1863,171А
1864,122/1
1865,122/2
1866,124/1
1867,124/2
1868,135/1
1869,135/2
1870,135/3
1871,135/4
1872,147/1
1873,147/2
1874,163а
1875,163б
1876,168/2
1877,208/1
1878,208/2
1879,211/1
1880,211/2
1881,213/1
1882,213/2
1883,217А
1884,225А
1885,254/1
1886,254/2
1887,261/1
1888,261/2
1889,282/1
1890,282/2
1891,286/1
1892,286/2
1893,286Б
1894,293/1
1895,309/1
1896,309/2
1897,319/1
1898,319/2
1899,327/1
1900,327/2
1901,341а
1902,41/43
1903,41в
1904,52б
1905,64/66
1906,74б
1907,74В
1908,78В
1909,115в
1910,115г
1911,25 а
1912,32г
1913,71б
1914,81Б
1915,171
1916,23/3
1917,6-к.1
1918,6-к.2
1919,6-к.3
1920,8-к.1
1921,8-к.2
1922,34/2
1923,5-5а
1924,90в
1925,90г
1926,56
1927,58б
1928,122а
1929,142Б
1930,142Д
1931,12/14
1932,5 б
1933,2а/1
1934,17/4
1935,2 к2
1936,2 к3
1937,2 к3 
1938,2 к4
1939,2 к5
1940,2 к6
1941,69 а
1942,112/1
1943,30/3
1944,59в
1945,82/2
1946,79/1
1947,79/2
1948,90/2
1949,1Ак1
1950,1Ак2
1951,20/3
1952,32/1
1953,32/3
1954,42-
1955,46-
1956,52-
1957,4/3
1958,31/1
1959,137/2
1960,151/1
1961,151/2
1962,153/3
1963,155/1
1964,155/2
1965,165А
1966,176А
1967,177А
1968,179А
1969,224А
1970,60Б
1971,2 
1972,22/2
1973,2 д
1974,2 ж
1975,2 к
1976,2 м
1977,32 а
1978,34 б
1979,36 а
1980,40 а
1981,42 а
1982,8 б
1983,8 в
1984,21/2
1985,28/1
1986,108Б
1987,125-1
1988,125-3
1989,142А
1990,162-2
1991,166Б
1992,168Б
1993,194А
1994,204А
1995,292А
1996,292Б
1997,327А
1998,327Б
1999,55-2
2000,59-2
2001,59-3
2002,72-3
2003,72В
2004,72Г
2005,72Е
2006,80К
2007,80Л
2008,86-1
2009,20/19
2010,55Д
2011,181а
2012,214а
2013,132б
2014,136А
2015,145а
2016,5г
2017,117а
2018,154-А
2019,159-А
2020,160-А
2021,202
2022,204
2023,9/5а
2024,43в
2025,43г
2026,65Б
2027,22-к.1
2028,81А/1
2029,50/1
2030,50/2
2031,50/3
2032,50/а
2033,50-1
2034,50-2
2035,52-3
2036,53/2
2037,53/3
2038,53-1
2039,57/2
2040,59/3
2041,59/4
2042,61/2
2043,61/3
2044,61/4
2045,61/5
2046,61/6
2047,61/7
2048,61/8
2049,62/2
2050,63/1
2051,63/2
2052,63/4
2053,63/5
2054,63/6
2055,63/7
2056,63/8
2057,63-1
2058,63-2
2059,65/3
2060,65/4
2061,65/5
2062,65/6
2063,65/7
2064,65/8
2065,67/1
2066,67/2
2067,67/3
2068,67/4
2069,67/5
2070,67/6
2071,67/7
2072,67/8
2073,67-1
2074,67-2
2075,67-3
2076,69/2
2077,69/3
2078,69/4
2079,69/5
2080,69/6
2081,69/7
2082,69/8
2083,71/3
2084,71/4
2085,71/5
2086,71/6
2087,71/7
2088,71/8
2089,71-1
2090,71-2
2091,71-3
2092,73/2
2093,74-1
2094,75/2
2095,77/1
2096,77/2
2097,21/23
2098,103-А
2099,191а
2100,193а
2101,203а
2102,204-А
2103,214-А
2104,223а
2105,224-А
2106,229а
2107,234-А
2108,248а
2109,278а
2110,58-Б
2111,64-А
2112,69-А
2113,71-А
2114,73-А
2115,84-А
2116,86-А
2117,105-А
2118,138а
2119,146А
2120,185а
2121,185б
2122,95-А
2123,95-Б
2124,95-В
2125,95-Г
2126,97-Б
2127,97-Г
2128,99-А
2129,103б
2130,143б
2131,147б
2132,99/1
2133,99/2
2134,36-А
2135,38т
2136,108-к.1
2137,108-к.10
2138,108-к.11
2139,108-к.2
2140,108-к.3
2141,108-к.4
2142,108-к.5
2143,108-к.6
2144,108-к.7
2145,108-к.8
2146,108-к.9
2147,112-к.1
2148,112-к.2
2149,112-к.3
2150,118 к.6
2151,130 к. 1
2152,130 к. 2
2153,130 к. 3
2154,130 к. 4
2155,130 к. 5
2156,130 к. 6
2157,130 к. 7
2158,134 к. 1
2159,134 к. 2
2160,134 к. 3
2161,134 к. 4
2162,134 к. 5
2163,44-1
2164,44д
2165,1/4
2166,64
2167,84
2168,133-А
2169,180-А
2170,236-А
2171,236-Б
2172,75-А
2173,96д
2174,96е
2175,98г
2176,26. к.2
2177,107/1
2178,114/1
2179,81/2
2180,83/1
2181,14/3
2182,28г
2183,40в
2184,58/1
2185,58/2
2186,60/1
2187,60/2
2188,181/1
2189,37/2
2190,34в
2191,46в
2192,10-Г
2193,28-Б
2194,1а/1
2195,1б/1
2196,1б/2
2197,66/1
2198,7а/1
2199,7г
2200,7ж/1
2201,7к
2202,7л
2203,148Б
2204,120б
2205,13Б - к.1
2206,13Б - к.2
2207,14/16
2208,29 б
2209,441
2210,455
2211,457
2212,461
2213,463
2214,464
2215,465
2216,479
2217,487
2218,489
2219,491
2220,493
2221,513
2222,516
2223,518
2224,520
2225,522
2226,524
2227,526
2228,528
2229,530
2230,532
2231,534
2232,536
2233,538
2234,540
2235,542
2236,544
2237,546
2238,548
2239,550
2240,552
2241,554
2242,556
2243,558
2244,560
2245,562
2246,563
2247,564
2248,565
2249,566
2250,567
2251,568
2252,569
2253,570
2254,571
2255,572
2256,573
2257,574
2258,575
2259,576
2260,577
2261,578
2262,579
2263,580
2264,581
2265,582
2266,583
2267,584
2268,585
2269,586
2270,587
2271,588
2272,589
2273,590
2274,591
2275,592
2276,593
2277,594
2278,595
2279,596
2280,597
2281,598
2282,599
2283,600
2284,601
2285,602
2286,603
2287,604
2288,605
2289,606
2290,607
2291,608
2292,609
2293,610
2294,611
2295,612
2296,613
2297,614
2298,615
2299,616
2300,617
2301,618
2302,619
2303,620
2304,621
2305,622
2306,623
2307,624
2308,625
2309,626
2310,627
2311,628
2312,629
2313,630
2314,631
2315,632
2316,633
2317,634
2318,635
2319,636
2320,637
2321,638
2322,639
2323,640
2324,641
2325,642
2326,643
2327,644
2328,645
2329,646
2330,647
2331,648
2332,649
2333,650
2334,651
2335,652
2336,653
2337,654
2338,655
2339,656
2340,657
2341,658
2342,659
2343,660
2344,661
2345,662
2346,663
2347,664
2348,665
2349,666
2350,667
2351,668
2352,669
2353,673
2354,675
2355,677
2356,678
2357,683
2358,685
2359,686
2360,687
2361,689
2362,690
2363,691
2364,692
2365,693
2366,694
2367,695
2368,696
2369,697
2370,700
2371,701
2372,702
2373,703
2374,704
2375,705
2376,706
2377,707
2378,708
2379,709
2380,710
2381,711
2382,714
